Network Code,Station Code,Name,Latitude,Longitude,Elevation
CU,ANWB,North Barbuda Island,17.669,-61.786,39
CU,BBGH,"Gun Hill, Barbados",13.143,-59.559,180
CU,BCIP,"Isla Barro Colorado, Panama",9.166,-79.837,61
CU,GRGR,"Grenville, Grenada",12.132,-61.654,195
CU,GRTK,"Grand Turk, Turks and Caicos Islands",21.511,-71.133,12
CU,GTBY,"Guantanamo Bay, Cuba",19.927,-75.111,79
CU,MTDJ,"Mount Denham, Jamaica",18.226,-77.535,925
CU,SDDR,"Presa de Sabenta, Dominican Republic",18.982,-71.288,589
CU,TGUH,"Tegucigalpa, Honduras",14.057,-87.273,1151
GT,BDFB,"Brasilia, Distrito Federal, Brazil",-15.642,-48.015,1095
GT,BGCA,"Bogoin, Central African Republic",5.176,18.424,676
GT,BOSA,"Boshof, South Africa",-28.614,25.256,1306
GT,CPUP,"Villa Florida, Paraguay",-26.331,-57.331,100
GT,DBIC,"Dimbokro, Ivory Coast",6.67,-4.857,161
GT,LBTB,"Lobatse, Botswana",-25.015,25.597,1148
GT,LPAZ,"La Paz, Bolivia",-16.288,-68.131,4786
GT,PLCA,"Paso Flores, Argentina",-40.733,-70.551,1049
GT,VNDA,"Dry Valley, Vanda, Antarctica",-77.517,161.853,98
IC,BJT,"Baijiatuan, Beijing, China",40.018,116.168,137
IC,ENH,"Enshi, Hubei Province, China",30.276,109.494,500
IC,HIA,"Hailar, Neimenggu Autonomous Region, China",49.27,119.741,620
IC,KMI,"Kunming, Yunnan Province, China",25.123,102.74,1940
IC,LSA,"Tibet, China",29.703,91.127,3645
IC,MDJ,"Mudanjiang, Heilongjiang Province, China",44.618,129.593,240
IC,QIZ,"Qiongzhong, Hainan Province, China",19.029,109.844,240
IC,SSE,"Shanghai, China",31.095,121.191,40
IC,WMQ,"Urumqi, Xinjiang Province, China",43.814,87.705,844
IC,XAN,"Xi'an, China",34.031,108.924,630
II,AAK,"Ala Archa, Kyrgyzstan",42.639,74.494,1645
II,ABKT,"Alibek, Turkmenistan",37.93,58.119,678
II,ABPO,"Ambohimpanompo, Madagascar",-19.018,47.229,1528
II,ALE,"Alert, N.W.T., Canada",82.503,-62.35,60
II,ARU,"Arti, Russia",56.43,58.562,250
II,ASCN,"Butt Crater, Ascension Island",-7.933,-14.36,173
II,BFO,"Black Forest Observatory, Schiltach, Germany",48.332,8.331,589
II,BORG,"Borgarfjordur, Asbjarnarstadir, Iceland",64.747,-21.327,110
II,BRVK,"Borovoye, Kazakhstan",53.058,70.283,330
II,CMLA,"Cha de Macela, Sao Miguel Island, Azores",37.764,-25.524,429
II,COCO,"West Island, Cocos (Keeling) Islands",-12.19,96.835,1
II,DGAR,"Diego Garcia, Chagos Islands, Indian Ocean",-7.412,72.453,1
II,EFI,"Mount Kent, East Falkland Island",-51.675,-58.064,110
II,ERM,"Erimo, Hokkaido Island, Japan",42.015,143.157,40
II,ESK,"Eskdalemuir, Scotland, UK",55.317,-3.205,242
II,FFC,"Flin Flon, Canada",54.725,-101.978,338
II,HOPE,"Hope Point, South Georgia Island",-54.284,-36.488,20
II,JTS,"Las Juntas de Abangares, Costa Rica",10.291,-84.953,340
II,KAPI,"Kappang, Sulawesi, Indonesia",-5.014,119.752,300
II,KDAK,"Kodiak Island, Alaska, USA",57.783,-152.583,152
II,KIV,"Kislovodsk, Russia",43.955,42.686,1054
II,KURK,"Kurchatov, Kazakhstan",50.715,78.62,184
II,KWAJ,"Kwajalein Atoll, Pacific Ocean",8.802,167.613,0
II,LVZ,"Lovozero, Russia",67.898,34.651,630
II,MBAR,"Mbarara, Uganda",-0.602,30.738,1390
II,MSEY,"Mahe, Seychelles",-4.674,55.479,475
II,MSVF,"Monasavu, Fiji",-17.745,178.053,801.1
II,NIL,"Nilore, Pakistan",33.651,73.269,629
II,NNA,"Nana, Peru",-11.988,-76.842,575
II,NRIL,"Norilsk, Russia",69.505,88.441,92
II,OBN,"Obninsk, Russia",55.115,36.567,160
II,PALK,"Pallekele, Sri Lanka",7.273,80.702,460
